iter	Passed	Remaining
1158	33585	24370
1159	33612	24339
1160	33637	24308
1161	33663	24277
1162	33686	24244
1163	33713	24213
1164	33739	24182
1165	33766	24151
1166	33793	24121
1167	33819	24090
1168	33843	24058
1169	33870	24027
1170	33895	23996
1171	33919	23963
1172	33945	23932
1173	33975	23904
1174	33998	23871
1175	34024	23840
1176	34049	23808
1177	34078	23780
1178	34107	23750
1179	34129	23717
1180	34152	23683
1181	34178	23652
1182	34205	23622
1183	34228	23590
1184	34253	23558
1185	34278	23526
1186	34304	23495
1187	34329	23464
1188	34355	23433
1189	34382	23403
1190	34407	23371
1191	34433	23340
1192	34456	23308
1193	34480	23276
1194	34503	23242
1195	34529	23211
1196	34556	23182
1197	34582	23151
1198	34607	23119
1199	34638	23092
1200	34668	23064
1201	34696	23034
1202	34724	23005
1203	34751	22975
1204	34783	22948
1205	34807	22916
1206	34833	22885
1207	34857	22853
1208	34882	22822
1209	34908	22791
1210	34937	22762
1211	34964	22732
1212	34989	22701
1213	35016	22671
1214	35043	22641
1215	35067	22609
1216	35095	22579
1217	35119	22547
1218	35144	22516
1219	35171	22486
1220	35199	22457
1221	35224	22425
1222	35246	22392
1223	35270	22360
1224	35301	22333
1225	35323	22300
1226	35349	22270
1227	35379	22241
1228	35402	22209
1229	35425	22177
1230	35449	22145
1231	35473	22113
1232	35500	22083
1233	35525	22052
1234	35548	22020
1235	35573	21988
1236	35597	21956
1237	35621	21925
1238	35650	21896
1239	35673	21864
1240	35699	21833
1241	35726	21804
1242	35751	21773
1243	35774	21741
1244	35808	21714
1245	35834	21684
1246	35859	21653
1247	35886	21624
1248	35910	21592
1249	35938	21563
1250	35965	21533
1251	35991	21502
1252	36019	21473
1253	36044	21443
1254	36070	21412
1255	36093	21380
1256	36116	21347
1257	36142	21317
1258	36165	21285
1259	36193	21256
1260	36217	21225
1261	36242	21194
1262	36271	21165
1263	36299	21136
1264	36322	21104
1265	36351	21075
1266	36377	21045
1267	36403	21015
1268	36429	20984
1269	36455	20954
1270	36482	20924
1271	36507	20894
1272	36531	20862
1273	36556	20832
1274	36583	20802
1275	36610	20772
1276	36636	20742
1277	36662	20712
1278	36690	20683
1279	36714	20651
1280	36738	20620
1281	36761	20588
1282	36788	20559
1283	36816	20530
1284	36845	20501
1285	36871	20471
1286	36896	20440
1287	36921	20409
1288	36946	20379
1289	36973	20349
1290	36998	20319
1291	37026	20289
1292	37054	20260
1293	37076	20228
1294	37100	20197
1295	37126	20167
1296	37153	20137
1297	37177	20106
1298	37206	20078
1299	37232	20048
1300	37263	20020
1301	37292	19992
1302	37315	19960
1303	37350	19935
1304	37379	19907
1305	37407	19877
1306	37433	19847
1307	37460	19818
1308	37488	19789
1309	37517	19760
1310	37540	19729
1311	37570	19701
1312	37596	19671
1313	37619	19640
1314	37648	19611
1315	37673	19581
1316	37698	19550
1317	37724	19520
1318	37748	19489
1319	37770	19457
1320	37796	19427
1321	37825	19399
1322	37851	19368
1323	37876	19338
1324	37902	19308
1325	37930	19279
1326	37957	19250
1327	37980	19219
1328	38004	19188
1329	38033	19159
1330	38060	19130
1331	38084	19099
1332	38111	19069
1333	38138	19040
1334	38161	19009
1335	38187	18979
1336	38214	18950
1337	38244	18922
1338	38271	18892
1339	38299	18863
1340	38327	18834
1341	38353	18804
1342	38381	18776
1343	38407	18746
1344	38434	18717
1345	38463	18689
1346	38493	18660
1347	38519	18630
1348	38547	18602
1349	38573	18572
1350	38602	18544
1351	38628	18514
1352	38651	18483
1353	38675	18452
1354	38702	18422
1355	38728	18393
1356	38757	18364
1357	38780	18333
